10/10/2020 - 08:12:10
QuickSort
Num de entradas,Num de comparacoes,Num de copias,Tempo de processamento em milissegundos
100000,856404,1668928,32
100000,856434,1668928,33
100000,856396,1668928,32
21/10/2020 - 10:21:09
QuickSort
Num de entradas,Num de comparacoes,Num de copias,Tempo de processamento em milissegundos
1000,15033,4792,3
1000,14984,4720,0
1000,13849,4812,0
1000,14294,4780,0
1000,15367,4746,0
5000,86255,29694,3
5000,95036,29582,1
5000,92602,29402,1
5000,100401,29142,0
5000,95247,29238,2
10000,218809,62818,4
10000,211156,62426,4
10000,206856,63016,5
10000,190057,63532,2
10000,201253,63518,3
50000,1289310,370820,32
50000,1246833,369086,31
50000,1195589,369698,22
50000,1282504,369928,30
50000,1203903,371642,28
100000,2723692,780838,71
100000,2882200,780508,76
100000,2665665,785404,68
100000,2865791,780098,80
100000,2600969,787852,64
21/10/2020 - 10:21:09
MergeSort
Num de entradas,Num de comparacoes,Num de copias,Tempo de processamento em milissegundos
1000,5045,9976,1
1000,5044,9976,0
1000,5045,9976,0
1000,5045,9976,0
1000,5045,9976,1
5000,32015,61808,1
5000,32011,61808,1
5000,32009,61808,2
5000,32016,61808,0
5000,32011,61808,0
10000,69035,133616,6
10000,69040,133616,0
10000,69046,133616,0
10000,69051,133616,0
10000,69049,133616,0
50000,402613,784464,16
50000,402642,784464,26
50000,402591,784464,19
50000,402645,784464,11
50000,402627,784464,16
100000,856480,1668928,37
100000,856361,1668928,37
100000,856385,1668928,32
100000,856318,1668928,31
100000,856353,1668928,40
